,Volumen,Nombre,Hora,Fecha,Stocks
0,                      26.590.182                  ,                      ACTIVISION I                  ,                                                20:19                                        ,2018-11-09,"                      54,630                  "
1,                      1.494.231                  ,                      ADOBE SYSTEM                  ,                                                20:19                                        ,2018-11-09,"                      241,450                  "
2,                      645.128                  ,                      ALEXION PHAR                  ,                                                20:19                                        ,2018-11-09,"                      122,790                  "
3,                      1.144.459                  ,                      ALIGN TECH                  ,                                                20:19                                        ,2018-11-09,"                      229,890                  "
4,                      868.010                  ,                      ALPHABET A                  ,                                                20:19                                        ,2018-11-09,"                      1.065,440                  "
5,                      824.198                  ,                      ALPHABET C                  ,                                                20:19                                        ,2018-11-09,"                      1.054,990                  "
6,                      4.055.915                  ,                      AMAZON.COM                  ,                                                20:19                                        ,2018-11-09,"                      1.703,390                  "
7,                      3.827.127                  ,                      AMER.AIR.GRP                  ,                                                20:19                                        ,2018-11-09,"                      36,100                  "
8,                      1.056.573                  ,                      AMGEN INC                  ,                                                20:19                                        ,2018-11-09,"                      192,770                  "
9,                      1.769.666                  ,                      ANALOG DEVIC                  ,                                                20:19                                        ,2018-11-09,"                      87,100                  "
10,                      20.812.767                  ,                      APPLE INC                  ,                                                20:19                                        ,2018-11-09,"                      202,320                  "
11,                      4.622.016                  ,                      APPLI.MATLS.                  ,                                                20:19                                        ,2018-11-09,"                      34,060                  "
12,                      1.150.952                  ,                      ASML HOLDING                  ,                                                20:19                                        ,2018-11-09,"                      172,410                  "
13,                      851.221                  ,                      AUTODESK INC                  ,                                                20:19                                        ,2018-11-09,"                      133,800                  "
14,                      843.509                  ,                      AUTOMAT.DATA                  ,                                                20:19                                        ,2018-11-09,"                      146,490                  "
15,                      1.945.997                  ,                      BAIDU                  ,                                                20:19                                        ,2018-11-09,"                      182,110                  "
16,                      393.430                  ,                      BIOGEN INC.                  ,                                                20:19                                        ,2018-11-09,"                      323,750                  "
17,                      481.657                  ,                      BIOMARIN PHA                  ,                                                20:19                                        ,2018-11-09,"                      95,300                  "
18,                      195.317                  ,                      BOOKING HOLD                  ,                                                20:19                                        ,2018-11-09,"                      1.924,380                  "
19,                      2.085.953                  ,                      BROADCOM COR                  ,                                                20:19                                        ,2018-11-09,"                      235,450                  "
20,                      748.788                  ,                      CADENCE DESI                  ,                                                20:19                                        ,2018-11-09,"                      45,880                  "
21,                      2.542.047                  ,                      CELGENE CORP                  ,                                                20:19                                        ,2018-11-09,"                      73,690                  "
22,                      1.292.627                  ,                      CERNER CORP                  ,                                                20:19                                        ,2018-11-09,"                      57,195                  "
23,                      432.932                  ,                      CHARTER COMM                  ,                                                20:19                                        ,2018-11-09,"                      317,160                  "
24,                      809.759                  ,                      CHECK POINT                  ,                                                20:19                                        ,2018-11-09,"                      111,810                  "
25,                      194.607                  ,                      CINTAS CORP                  ,                                                20:19                                        ,2018-11-09,"                      177,800                  "
26,                      13.244.603                  ,                      CISCO SYSTEM                  ,                                                20:19                                        ,2018-11-09,"                      46,750                  "
27,                      356.608                  ,                      CITRIX SYS.                  ,                                                20:19                                        ,2018-11-09,"                      105,810                  "
28,                      1.634.674                  ,                      COGNIZANT                  ,                                                20:19                                        ,2018-11-09,"                      69,910                  "
29,                      9.422.102                  ,                      COMCAST CL A                  ,                                                20:19                                        ,2018-11-09,"                      38,040                  "
30,                      1.346.770                  ,                      COSTCO WHOLE                  ,                                                20:19                                        ,2018-11-09,"                      237,440                  "
31,                      2.916.763                  ,                      CSX CORPORAT                  ,                                                20:19                                        ,2018-11-09,"                      70,030                  "
32,                      6.443.800                  ,                      CTRIP.COM                  ,                                                20:19                                        ,2018-11-09,"                      25,900                  "
33,                      6.349.590                  ,                      DENTSPLY SIR                  ,                                                20:19                                        ,2018-11-09,"                      35,970                  "
34,                      1.098.138                  ,                      DOLLAR TREE                  ,                                                20:19                                        ,2018-11-09,"                      86,130                  "
35,                      5.025.414                  ,                      EBAY INC.                  ,                                                20:19                                        ,2018-11-09,"                      29,630                  "
36,                      4.286.649                  ,                      ELECTRO.ARTS                  ,                                                20:19                                        ,2018-11-09,"                      88,420                  "
37,                      879.907                  ,                      EXPEDIA INC                  ,                                                20:19                                        ,2018-11-09,"                      124,200                  "
38,                      1.349.741                  ,                      EXPRESS SCR.                  ,                                                20:19                                        ,2018-11-09,"                      98,520                  "
39,                      10.539.360                  ,                      FACEBOOK INC                  ,                                                20:19                                        ,2018-11-09,"                      144,150                  "
40,                      2.563.629                  ,                      FASTENAL CO.                  ,                                                20:19                                        ,2018-11-09,"                      54,340                  "
41,                      1.080.131                  ,                      FISERV INC                  ,                                                20:19                                        ,2018-11-09,"                      79,760                  "
42,                      2.215.110                  ,                      GILEAD SCIEN                  ,                                                20:19                                        ,2018-11-09,"                      70,770                  "
43,                      632.856                  ,"                      HASBRO, INC.                  ",                                                20:19                                        ,2018-11-09,"                      96,750                  "
44,                      689.690                  ,                      HENRY SCHEIN                  ,                                                20:19                                        ,2018-11-09,"                      84,720                  "
45,                      1.459.831                  ,                      HOLOGIC INC                  ,                                                20:19                                        ,2018-11-09,"                      41,540                  "
46,                      531.930                  ,                      HUNT J B TRA                  ,                                                20:19                                        ,2018-11-09,"                      106,410                  "
47,                      206.368                  ,                      IDEXX LAB                  ,                                                20:19                                        ,2018-11-09,"                      203,850                  "
48,                      713.871                  ,                      ILLUMINA INC                  ,                                                20:19                                        ,2018-11-09,"                      324,950                  "
49,                      740.687                  ,                      INCYTE GENOM                  ,                                                20:19                                        ,2018-11-09,"                      65,710                  "
50,                      12.490.241                  ,                      INTEL CORP                  ,                                                20:19                                        ,2018-11-09,"                      47,905                  "
51,                      1.063.764                  ,                      INTUIT INC                  ,                                                20:19                                        ,2018-11-09,"                      219,130                  "
52,                      407.594                  ,                      INTUITIVE S.                  ,                                                20:18                                        ,2018-11-09,"                      529,530                  "
53,                      12.423.253                  ,"                      JD.COM, INC.                  ",                                                20:19                                        ,2018-11-09,"                      21,590                  "
54,                      825.844                  ,                      KLA-TENCOR                  ,                                                20:19                                        ,2018-11-09,"                      94,770                  "
55,                      3.172.730                  ,                      KRAFT HEINZ                  ,                                                20:19                                        ,2018-11-09,"                      53,555                  "
56,                      991.452                  ,                      LAM RESEARCH                  ,                                                20:19                                        ,2018-11-09,"                      147,200                  "
57,                      2.120.131                  ,                      LIBERTY GLO.                  ,                                                20:19                                        ,2018-11-09,"                      24,460                  "
58,                      1.273.885                  ,                      LIBERTY GLOB                  ,                                                20:19                                        ,2018-11-09,"                      25,040                  "
59,                      3.258.655                  ,                      LIBERTY INTE                  ,                                                20:19                                        ,2018-11-09,"                      24,800                  "
60,                      968.106                  ,                      MARRIOTT INT                  ,                                                20:19                                        ,2018-11-09,"                      116,310                  "
61,                      1.878.331                  ,                      MAXIM INTGED                  ,                                                20:19                                        ,2018-11-09,"                      51,790                  "
62,                      257.854                  ,                      MERCADOLIBRE                  ,                                                20:19                                        ,2018-11-09,"                      318,840                  "
63,                      2.716.803                  ,                      MICROCHIP                  ,                                                20:19                                        ,2018-11-09,"                      71,343                  "
64,                      17.836.514                  ,                      MICRON TECH.                  ,                                                20:19                                        ,2018-11-09,"                      38,830                  "
65,                      18.859.199                  ,                      MICROSOFT                  ,                                                20:19                                        ,2018-11-09,"                      108,945                  "
66,                      3.446.310                  ,                      MONDELEZ INT                  ,                                                20:19                                        ,2018-11-09,"                      44,110                  "
67,                      3.106.657                  ,                      MONSTER BEVE                  ,                                                20:19                                        ,2018-11-09,"                      56,225                  "
68,                      2.122.525                  ,                      MYLAN N.V.                  ,                                                20:19                                        ,2018-11-09,"                      36,720                  "
69,                      1.046.018                  ,                      NETEASE                  ,                                                20:19                                        ,2018-11-09,"                      217,220                  "
70,                      9.738.359                  ,                      NETFLIX INC.                  ,                                                20:19                                        ,2018-11-09,"                      299,560                  "
71,                      7.625.770                  ,                      NVIDIA CORP.                  ,                                                20:19                                        ,2018-11-09,"                      203,205                  "
72,                      2.010.755                  ,                      NXP SEMICON.                  ,                                                20:19                                        ,2018-11-09,"                      82,860                  "
73,                      485.529                  ,                      O'REILLY AUT                  ,                                                20:19                                        ,2018-11-09,"                      353,510                  "
74,                      685.651                  ,                      PACCAR INC.                  ,                                                20:19                                        ,2018-11-09,"                      58,250                  "
75,                      559.657                  ,                      PAYCHEX INC                  ,                                                20:19                                        ,2018-11-09,"                      68,370                  "
76,                      5.701.794                  ,                      PAYPAL HOLDI                  ,                                                20:19                                        ,2018-11-09,"                      85,651                  "
77,                      2.570.972                  ,"                      PEPSICO, INC                  ",                                                20:19                                        ,2018-11-09,"                      116,955                  "
78,                      13.334.253                  ,                      QUALCOMM INC                  ,                                                20:19                                        ,2018-11-09,"                      56,240                  "
79,                      339.153                  ,                      REGENERON PH                  ,                                                20:19                                        ,2018-11-09,"                      353,520                  "
80,                      988.487                  ,                      ROSS STORES                  ,                                                20:19                                        ,2018-11-09,"                      102,070                  "
81,                      4.629.227                  ,                      SEAGATE TECH                  ,                                                20:19                                        ,2018-11-09,"                      42,550                  "
82,                      1.057.684                  ,                      SHIRE PLC                  ,                                                20:19                                        ,2018-11-09,"                      180,550                  "
83,                      8.828.321                  ,                      SIRIUS XM HL                  ,                                                20:19                                        ,2018-11-09,"                      6,145                  "
84,                      6.162.222                  ,                      SKYWORKS                  ,                                                20:19                                        ,2018-11-09,"                      75,990                  "
85,                      5.038.478                  ,                      STARBUCKS                  ,                                                20:19                                        ,2018-11-09,"                      68,390                  "
86,                      4.617.398                  ,                      SYMANTEC COR                  ,                                                20:19                                        ,2018-11-09,"                      21,885                  "
87,                      397.270                  ,                      SYNOPSYS INC                  ,                                                20:19                                        ,2018-11-09,"                      92,545                  "
88,                      1.395.370                  ,"                      T-MOBILE US,                  ",                                                20:19                                        ,2018-11-09,"                      68,130                  "
89,                      4.443.972                  ,                      TAKE-TWO INT                  ,                                                20:19                                        ,2018-11-09,"                      110,440                  "
90,                      3.971.783                  ,                      TESLA MOTORS                  ,                                                20:19                                        ,2018-11-09,"                      347,100                  "
91,                      3.265.298                  ,                      TEXAS INSTRS                  ,                                                20:19                                        ,2018-11-09,"                      95,930                  "
92,                      6.522.116                  ,                      TWENTY-FIRST                  ,                                                20:19                                        ,2018-11-09,"                      48,150                  "
93,                      2.800.156                  ,                      TWENTY-FIRST                  ,                                                20:19                                        ,2018-11-09,"                      47,730                  "
94,                      991.501                  ,                      ULTA SALON                  ,                                                20:19                                        ,2018-11-09,"                      304,458                  "
95,                      635.592                  ,                      VERISK ANALY                  ,                                                20:19                                        ,2018-11-09,"                      122,180                  "
96,                      815.066                  ,                      VERTEX PHARM                  ,                                                20:19                                        ,2018-11-09,"                      178,050                  "
97,                      4.215.016                  ,                      VODAFONE GRP                  ,                                                20:19                                        ,2018-11-09,"                      18,670                  "
98,                      2.025.928                  ,                      WALGREENS B.                  ,                                                20:19                                        ,2018-11-09,"                      81,900                  "
99,                      3.881.079                  ,                      WESTERN DIGI                  ,                                                20:19                                        ,2018-11-09,"                      44,925                  "
100,                      1.169.782                  ,"                      WORKDAY, INC                  ",                                                20:19                                        ,2018-11-09,"                      138,510                  "
101,                      4.142.735                  ,                      WYNN RESORTS                  ,                                                20:19                                        ,2018-11-09,"                      98,750                  "
